Ticker,CUSIP,Description,Quantity,Market Value,Portfolio Weight
TRGP,87612G101,Targa Resources Corp,"11,439","2713330.80",3.64%
MTZ,576323109,MasTec Inc,"9,326","2663598.86",3.58%
WWD,980745103,Woodward Inc,"6,993","2614682.70",3.51%
FIVE,33829M101,Five Below Inc,"12,081","2600797.68",3.49%
CLH,184496107,CLEAN HARBORS INC COM,"9,186","2599362.42",3.49%
ODFL,679580100,Old Dominion Freight Line Inc,"13,247","2569520.59",3.45%
MSGS,55825T103,Madison Square Garden Sports Corp,"8,118","2543694.12",3.41%
AA,013872106,Alcoa Corp,"42,532","2537033.80",3.41%
FTI,G87110105,TechnipFMC PLC,"40,190","2532773.80",3.40%
RGLD,780287108,Royal Gold Inc,"9,036","2528634.24",3.39%
VTRS,92556V106,Viatris Inc,"179,488","2520011.52",3.38%
ULTA,90384S303,ULTA BEAUTY INC,"3,890","2514262.60",3.38%
WAB,929740108,Westinghouse Air Brake Technologies Corp,"10,274","2513842.32",3.37%
DG,256677105,Dollar General Corp,"17,134","2506875.54",3.37%
ALSN,01973R101,Allison Transmission Holdings Inc,"21,440","2500976.00",3.36%
CMI,231021106,Cummins Inc,"4,632","2497713.36",3.35%
ATI,01741R102,ATI Inc,"16,638","2497197.42",3.35%
TKR,887389104,Timken Co/The,"24,915","2483527.20",3.33%
COHR,19247G107,Coherent Corp,"10,533","2482838.76",3.33%
ALB,012653101,Albemarle Corp,"15,082","2447657.78",3.29%
MU,595112103,Micron Technology Inc,"6,540","2421762.00",3.25%
LSCC,518415104,Lattice Semiconductor Corp,"28,287","2418255.63",3.25%
ADI,032654105,Analog Devices Inc,"7,648","2415314.88",3.24%
FCX,35671D857,Freeport-McMoRan Inc,"39,822","2363833.92",3.17%
TER,880770102,Teradyne Inc,"8,580","2342769.00",3.14%
MKSI,55306N104,MKS Inc,"11,087","2328270.00",3.13%
AMAT,038222105,Applied Materials Inc,"7,178","2330983.72",3.13%
WFRD,G48833118,Weatherford International PLC,"25,459","2311677.20",3.10%
ONTO,683344105,Onto Innovation Inc,"12,654","2274176.88",3.05%
LRCX,512807306,Lam Research Corp,"11,397","2271764.01",3.05%
FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,"81,068","81068.44",0.11%
Cash&Other,Cash&Other,Cash & Other,"66,060","66060.99",0.09%
